label	category	correction
0	Syntax	Voglio salutare Giulia.
1	Correct	Ho voglia di salutare Sofia.
0	Syntax	Il mio libro preferito è la Divina Commedia.
0	Semantics	Il mio treno preferito è il Frecciarossa. La Divina Commedia è un'opera letteraria.
1	Correct	Lorenzo ha detto che Andrea ha parlato con Riccardo.
1	Correct	Andrea sta elaborando la risposta.
1	Correct	Alessandro ha incontrato Giulia.
1	Correct	È ricomparso il padre del ragazzo.
1	Correct	I prezzi sono aumentati.
0	Morphology	Salvato Andrea, ci siamo dati alla pazza gioia. La frase ha una struttura grammaticalmente corretta, ma il termine "salvato" è utilizzato in modo improprio. Dovrebbe essere sostituito con "salvati" per riferirsi a più persone (Andrea e chi parla). La versione corretta sarebbe: "Salvati Andrea, ci siamo dati alla pazza gioia."
1	Correct	Il palazzo delle assicurazioni è crollato.
1	Correct	Quella costruzione offende il buon gusto.
1	Correct	Newton ha spiegato la forza di gravità.
1	Correct	Mi hanno dato il premio.
1	Correct	Tommaso si è danneggiato.
1	Correct	Quegli uomini hanno denunciato se stessi.
0	Syntax	Compro e leggo quel libro. La frase è corretta. Tuttavia, se si vuole enfatizzare che si acquista e poi si legge il libro, potrebbe essere preferibile utilizzare una virgola per separare le due azioni: "Compro, e leggo quel libro." Questo migliora la chiarezza e la fluidità della frase.
1	Correct	Ho incontrato Lorenzo, non Emma.
1	Correct	Non guardarlo.
1	Correct	Ho incontrato molti amici di Riccardo.
1	Correct	Non ho trovato il tuo libro in quella biblioteca.
1	Correct	Non ce ne ho trovati molti. Etichetta: 1 (la frase è grammaticalmente corretta) Categoria: Correct (nessun errore grammaticale) Frase corretta: Non ce ne ho trovati molti. (la frase è già corretta)
1	Correct	Riccardo ha promesso a Maria che metterà in vendita la propria casa.
1	Correct	Maria ha salutato i suoi genitori.
1	Correct	Riccardo non è molto intelligente.
1	Correct	Riccardo non è molto, credo, intelligente.
0	Semantics	Hanno chiamato molte persone a quel numero.
1	Correct	Che cosa ha comprato Riccardo? La frase è già corretta.
0	Syntax	Leonardo ha incontrato Andrea.
