label	category	correction
0	Syntax	Voglio salutare Giulia.
1	Correct	Ho voglia di salutare Sofia. La frase è già corretta.
0	Syntax	Il mio libro preferito è la Divina Commedia.
0	Semantics	Il mio treno preferito è il Frecciarossa. La Divina Commedia è un'opera letteraria.
1	Correct	Lorenzo ha detto che Andrea ha parlato con Riccardo.
1	Correct	Andrea sta elaborando la risposta. La frase è già corretta.
1	Correct	Alessandro ha incontrato Giulia.
1	Correct	È ricomparso il padre del ragazzo.
1	Correct	I prezzi sono aumentati.
1	Correct	Salvato Andrea, ci siamo dati alla pazza gioia.
1	Correct	Il palazzo delle assicurazioni è crollato.
1	Correct	Quella costruzione offende il buon gusto. La frase è già corretta.
1	Correct	Newton ha spiegato la forza di gravità.
1	Correct	Mi hanno dato il premio.
1	Correct	Tommaso si è danneggiato.
1	Correct	Quegli uomini hanno denunciato se stessi.
1	Correct	Compro e leggo quel libro.
1	Correct	Ho incontrato Lorenzo, non Emma.
1	Correct	Non guardarlo. La frase è già corretta.
1	Correct	Ho incontrato molti amici di Riccardo.
1	Correct	Non ho trovato il tuo libro in quella biblioteca.
1	Correct	Non ce ne ho trovati molti. La frase è già corretta.
1	Correct	Riccardo ha promesso a Maria che metterà in vendita la propria casa.
1	Correct	Maria ha salutato i suoi genitori.
1	Correct	Riccardo non è molto intelligente.
1	Correct	Riccardo non è molto, credo, intelligente.
1	Correct	Hanno chiamato molte persone quel numero. La frase è già corretta.
1	Correct	Che cosa ha comprato Riccardo? La frase è già corretta.
0	Syntax	Leonardo ha incontrato Andrea.
0	Syntax	Riccardo ha domandato a chi non era stato visto Leonardo.
1	Correct	Leonardo, mi hanno detto che parlerà domani.
1	Correct	Gabriele, quando l'hai visto? La frase è già corretta.
1	Correct	In quale cassetto Leonardo ha messo i fogli? La frase è già corretta.
0	Syntax	Di quale politico hanno parlato?
0	Semantics	Chi è il politico di cui la radio ha riportato che il giudice ha dichiarato che ha parlato?
1	Correct	Lorenzo ha detto che partirà domani.
1	Correct	Quando è arrivato Francesco, abbiamo potuto cenare.
1	Correct	La tempesta ha abbattuto la quercia sotto cui il figliol prodigo pascolava i porci.
1	Correct	Chi tocca i fili muore.
1	Correct	Alessandro, che è venuto a trovarmi ieri, mi ha detto di salutarti.
1	Correct	La commissione ritiene dunque il candidato aver fornito sufficienti prove della sua maturità scientifica.
1	Correct	Il timore della guerra è ingiustificato.
1	Correct	Riccardo ha perso le chiavi.
1	Correct	Alessandro è bramoso di potere.
1	Correct	Penso che Francesco domandi l'ora a Lorenzo. La frase è già corretta.
1	Correct	Tommaso ha affermato che Edoardo parla.
1	Correct	Avendo io sempre sostenuto una posizione diversa, dovrò votare contro questa proposta. La frase è già corretta.
1	Correct	Tommaso ha ordinato ad Andrea di difenderlo. La frase è già corretta.
0	Syntax	Il fatto di aver scoperto un delitto ci ha sconvolti.
1	Correct	Chi pensi che Alessandro incontrerà? La frase è già corretta.
1	Correct	La sedia su cui ti sei seduto è rotta.
1	Correct	Questa è la persona con cui Edoardo ha fatto l'affermazione che Tommaso ha parlato.
0	Syntax	Edoardo crede che Sofia abbia baciato. La frase presenta un errore sintattico, poiché manca la congiunzione "che" dopo "crede". La frase corretta è "Edoardo crede che Sofia abbia baciato".
1	Correct	Che problema non sai come potremo risolvere? La frase è già corretta.
0	Syntax	Lui ha visto.
0	Morphology	Abbiamo visto lo spettacolo. La frase non è grammaticalmente corretta perché manca un complemento oggetto dopo il verbo "vedere". In questo caso, è stata aggiunta la parola "spettacolo" per rendere la frase completa e corretta.
1	Correct	Sofia dice che Alessandro parlerà domani.
0	Syntax	Beatrice ha dichiarato che non ha avuto niente a che fare con Gabriele.
1	Correct	Riccardo ha detto che Andrea si è guardato.
1	Correct	Il padre di Andrea mi è sembrato molto contento quando gli ho parlato.
1	Correct	Penso che Edoardo creda che Maria voglia che Gabriele veda Riccardo.
1	Correct	Edoardo crede che Emma voglia che Tommaso veda Gabriele.
1	Correct	Il coniglio mangia.
1	Correct	Che libro dice che il professore ha raccomandato di leggere? La frase è già corretta.
0	Syntax	Prima sono arrivato io, non tu.
1	Correct	Arriva un uomo. La frase è già corretta.
1	Correct	Leonardo uccise Andrea.
1	Correct	Andrea ha detto che Tommaso lo guarda.
1	Correct	Gabriele ha voglia di andare al mare.
1	Correct	È questo libro che non avevo mai letto.
1	Correct	La frase è già corretta.
1	Correct	Alessandro crede che invaderemo quel paese.
1	Correct	A proposito di questi paesi, quale crede Andrea che invaderanno? La frase è già corretta.
1	Correct	L'anno scorso Alessandro scriveva un libro, ma tutt'oggi non l'ha ancora finito.
1	Correct	L'anno scorso, Edoardo scrisse un libro, ma a tutt'oggi non l'ha ancora finito.
0	Semantics	Gabriele è scapolo o è sposato.
1	Correct	L'attuale re di Francia è calvo.
1	Correct	Qualche studente ha superato l'esame.
0	Semantics	Se qualche studente non ha superato l'esame, allora non tutti gli studenti hanno superato l'esame.
0	Semantics	Ieri ho promesso a Lorenzo di partire con lui. La frase originale è semanticamente scorretta poiché manca un oggetto o un riferimento a chi doveva partire. La correzione aggiunge "con lui" per specificare che il soggetto della frase, Lorenzo, doveva partire.
1	Correct	Nel processo di primo grado, la corte dichiarò l'imputato innocente.
1	Correct	Continua così e combinerai guai. La frase è già corretta.
1	Correct	Ho preso le chiavi.
1	Correct	Andrea, trasmettendoci le commissioni della marchesa: "Ha detto: "Darete loro il buongiorno"". La frase è già corretta.
1	Correct	Una bella casa fa comodo.
1	Correct	Prendiamo questo. La frase è già corretta.
1	Correct	Uso il gladio. La frase è già corretta.
1	Correct	Il calcolatore funziona bene.
1	Correct	Scusa! La frase è già corretta.
1	Correct	Le ragazze sono arrivate.
