label	correction
0	Voglio salutare Giulia.
1	Ho voglia di salutare Sofia. La frase è già corretta.
0	Il mio libro preferito è la Divina Commedia.
0	Il mio treno preferito è il treno Divina Commedia.
1	Lorenzo ha detto che Andrea ha parlato con Riccardo. La frase è già corretta.
1	Andrea sta elaborando la risposta. La frase è già corretta.
1	Alessandro ha incontrato Giulia.
1	È ricomparso il padre del ragazzo.
1	I prezzi sono aumentati.
0	Salvato Andrea, ci siamo dati alla pazza gioia. La frase presenta un errore grammaticale. "Salvato" è un participio passato e dovrebbe concordare con il soggetto "Andrea", quindi dovrebbe essere "Salvato Andrea". La frase corretta è: "Salvato Andrea, ci siamo dati alla pazza gioia."
1	Il palazzo delle assicurazioni è crollato.
1	Quella costruzione offende il buon gusto.
1	Newton ha spiegato la forza di gravità.
1	Mi hanno dato il premio.
1	Tommaso si è danneggiato. La frase è già corretta.
1	Quegli uomini hanno denunciato se stessi.
1	Compro e leggo quel libro. La frase è già corretta.
1	Ho incontrato Lorenzo, non Emma. La frase è già corretta.
1	Non guardarlo. La frase è già corretta.
1	Ho incontrato molti amici di Riccardo.
1	Non ho trovato il tuo libro in quella biblioteca.
1	La frase è già corretta.
1	Riccardo ha promesso a Maria che metterà in vendita la propria casa.
1	Maria ha salutato i suoi genitori.
1	Riccardo non è molto intelligente.
1	Riccardo non è molto, credo, intelligente.
1	Hanno chiamato molte persone quel numero. La frase è già corretta.
1	Che cosa ha comprato Riccardo? La frase è già corretta.
1	Andrea è stato incontrato da Leonardo.
1	Riccardo ha domandato da chi non era stato visto Leonardo. La frase è già corretta.
1	Leonardo, mi hanno detto che parlerà domani. La frase è già corretta.
1	La frase è già corretta.
1	In quale cassetto Leonardo ha messo i fogli? La frase è già corretta.
0	Quale politico hanno parlato?
0	Chi è il politico che la radio ha riferito abbia parlato dopo che il giudice ha dichiarato?
1	Lorenzo ha detto che partirà domani.
1	Quando è arrivato Francesco, abbiamo potuto cenare. La frase è già corretta.
1	La tempesta ha abbattuto la quercia sotto cui il figliol prodigo pascolava i porci.
1	Chi tocca i fili muore. La frase è già corretta.
1	Alessandro, che è venuto a trovarmi ieri, mi ha detto di salutarti.
1	La commissione ritiene dunque il candidato aver fornito sufficienti prove della sua maturità scientifica.
1	Il timore della guerra è ingiustificato. La frase è già corretta.
1	Riccardo ha perso le chiavi.
1	Alessandro è bramoso di potere.
1	Penso che Francesco domandi l'ora a Lorenzo. La frase è già corretta.
1	Tommaso ha affermato che Edoardo parla. La frase è già corretta.
1	Avendo io sempre sostenuto una posizione diversa, dovrò votare contro questa proposta. La frase è già corretta.
1	Tommaso ha ordinato ad Andrea di difenderlo. La frase è già corretta.
0	Il fatto che sia stato scoperto un delitto ci ha sconvolti.
1	Chi pensi che Alessandro incontrerà? La frase è già corretta.
1	La sedia su cui ti sei seduto è rotta.
1	Questa è la persona con cui Edoardo ha fatto l'affermazione che Tommaso ha parlato. La frase è già corretta.
0	Edoardo crede che Sofia abbia baciato. In questo caso, la frase originale non è corretta dal punto di vista della grammatica. La correzione appropriata è quella di sostituire "chi" con "che" per mantenere la coerenza grammaticale.
1	Che problema non sai come potremo risolvere? La frase è già corretta.
0	Lui ha visto. La frase originale presenta alcuni errori grammaticali. La forma corretta dovrebbe essere "Lui ha visto" in quanto il verbo "vedere" richiede il coniugare il verbo "avere" come ausiliare. Inoltre, il soggetto e il verbo devono concordare nel numero, quindi "lui" richiede la terza persona singolare del verbo "vedere".
0	Abbiamo visto quello. Etichetta: 0 Frase corretta: Abbiamo visto quello.
1	Sofia dice che Alessandro parlerà domani. La frase è già corretta.
0	Beatrice ha dichiarato di non avere avuto niente a che fare con Gabriele.
1	Riccardo ha detto che Andrea si è guardato.
1	Il padre di Andrea mi è sembrato molto contento quando gli ho parlato. La frase è già corretta.
1	Penso che Edoardo creda che Maria voglia che Gabriele veda Riccardo.
1	Edoardo crede che Emma voglia che Tommaso veda Gabriele.
1	Il coniglio mangia. La frase è già corretta.
1	La frase è già corretta.
0	Sono arrivato per primo, non tu.
1	Arriva un uomo.
1	Leonardo uccise Andrea.
0	Andrea ha detto che Tommaso lo guarda.
1	Gabriele ha voglia di andare al mare.
1	È questo libro che non avevo mai letto. La frase è già corretta.
1	Da quel professore, Tommaso non è stato ancora interrogato? La frase è già corretta.
1	Alessandro crede che invaderemo quel paese.
1	A proposito di questi paesi, quale crede Andrea che invaderanno? La frase è già corretta.
1	L'anno scorso Alessandro scriveva un libro, ma tutt'oggi non l'ha ancora finito.
1	L'anno scorso, Edoardo scrisse un libro, ma a tutt'oggi non l'ha ancora finito. La frase è già corretta.
0	Gabriele è scapolo e non è sposato.
1	L'attuale re di Francia è calvo. La frase è già corretta.
1	Qualche studente ha superato l'esame. La frase è già corretta.
0	Se qualche studente non ha superato l'esame, allora non tutti gli studenti hanno superato l'esame.
0	Ieri ho promesso a Lorenzo di partire insieme.
1	Nel processo di primo grado, la corte dichiarò l'imputato innocente. La frase è già corretta.
1	Continua così e combinerai guai. La frase è già corretta.
1	Ho preso le chiavi.
1	Andrea, trasmettendoci le commissioni della marchesa: "Ha detto: 'Darete loro il buongiorno'". La frase è già corretta.
1	Una bella casa fa comodo.
0	Prendiamo questo. La frase contiene un errore grammaticale. La forma corretta sarebbe "Prendiamo questo" o "Prendiamo quello". La scelta dipende dal contesto. In questo caso, l'aggiunta del pronome "lo" per specificare l'oggetto renderebbe la frase più chiara e completa. Una versione corretta potrebbe essere: "Prendiamo quello" (se ci si riferisce a un oggetto precedentemente menzionato) o "Prendiamo questo" (se ci si riferisce a un oggetto vicino o evidente).
1	Uso il gladio. La frase è già corretta.
1	Il calcolatore funziona bene. La frase è già corretta.
1	La frase è già corretta.
1	Le ragazze sono arrivate.
1	Il libro che mi ha prestato Lorenzo non mi piace. La frase è già corretta.
1	Dicono che hai raccontato che non ci vediamo mai. La frase è già corretta.
1	La frase è già corretta.
1	Andando a casa, ho incontrato tuo fratello.
1	Sto andando a prendere la macchina.
1	La frase è già corretta.
1	Va' a casa! La frase è già corretta.
1	Io sono affamato.
1	Bravo, questo ragazzo. La frase è già corretta.
1	Paola è una donna che apprezziamo molto.
1	Cosa fai domani? La frase è già corretta.
1	Ho visto il libro che mi hai regalato. La frase è già corretta.
0	Gli amici del maestro Andrea.
1	Credo che tu abbia ragione.
1	Siccome è caduto, si è fatto male. La frase è già corretta.
1	Volevano distruggerla e l'hanno distrutta. La frase è già corretta.
1	Ognuno prenda il suo cappotto.
1	Prendimi quell'aggeggio. La frase è già corretta.
1	Ho dato al bambino il latte, ma lui non l'ha bevuto. La frase è già corretta.
1	Maria usa il computer, io non lo so fare.
1	Ho visto una casa.
1	Ho visto tua madre. La frase è già corretta.
1	La persona che mi ha parlato. La frase è già corretta.
1	Se uno va in treno, vuole stare comodo.
1	Fa male la mia testa.
1	Ho due case.
1	Ho delle case.
1	Il cavallo è arrivato primo.
1	I cavalli sono animali resistenti.
1	È venuto qualcuno. La frase è già corretta.
1	È arrivato. La frase è già corretta.
1	Posso venire.
1	Magari domani piove.
1	Lui è stato colto dalla pioggia. La frase è già corretta.
0	Scrive una lettera a sua zia. La frase sarebbe corretta se fosse "Scrive una lettera a sua zia." Tuttavia, come è, manca un verbo all'inizio per rendere la frase completa. Si potrebbe aggiungere "Lei" come soggetto: "Lei scrive una lettera a sua zia."
1	Egli lo vide. La frase è già corretta.
1	Alessandro promette ad Edoardo di restare a casa. La frase è già corretta.
1	Riccardo non ha tempo.
1	Ho riparato il tavolo.
1	Hanno aperto il libro. La frase è già corretta.
0	Gli è stato dato il cappello da me.
1	Quel ragazzo apre la porta.
1	Ho sentito cantare i ragazzi. La frase è già corretta.
0	La macchina vuole che lui la lavi.
1	È il meccanico che è venuto.
1	È venire fino a Napoli che non voglio.
1	Quanto al bagno, mi fa piacere. La frase è già corretta.
1	Hai presente Lorenzo? La frase è già corretta.
1	La frase è già corretta.
1	Credi che sia possibile una cosa del genere? La frase è già corretta.
0	Appena detto ciò, mi lasciò piangere e volevo dire molte cose.
