label	category	correction
0	Syntax	Voglio salutare Giulia.
1	Correct	Ho voglia di salutare Sofia.
0	Syntax	La mia preferita è la Divina Commedia.
0	Semantics	Il mio libro preferito è la Divina Commedia.
1	Correct	Lorenzo ha detto che Andrea ha parlato con Riccardo.
1	Correct	Andrea sta elaborando la risposta. La frase è già corretta.
1	Correct	Alessandro ha incontrato Giulia.
1	Correct	È ricomparso il padre del ragazzo.
1	Correct	I prezzi sono aumentati.
1	Correct	Salvato Andrea, ci siamo dati alla pazza gioia.
1	Correct	Il palazzo delle assicurazioni è crollato.
1	Correct	Quella costruzione offende il buon gusto.
1	Correct	Newton ha spiegato la forza di gravità.
1	Correct	La frase è già corretta.
1	Correct	Tommaso si è danneggiato.
1	Correct	Quegli uomini hanno denunciato se stessi.
0	Syntax	Compro quel libro e lo leggo.
1	Correct	Ho incontrato Lorenzo, non Emma.
1	Correct	Non guardarlo.
1	Correct	Ho incontrato molti amici di Riccardo.
1	Correct	Non ho trovato il tuo libro in quella biblioteca.
1	Correct	La frase è già corretta.
1	Correct	Riccardo ha promesso a Maria che metterà in vendita la propria casa.
1	Correct	Maria ha salutato i suoi genitori.
1	Correct	Riccardo non è molto intelligente.
1	Correct	Riccardo non è molto, credo, intelligente.
0	Syntax	Hanno chiamato molte persone quel numero. La frase non è corretta. La frase corretta è la stessa data, ma è stata ripetuta perché è stata già corretta. Inoltre, non ci sono errori di sintassi o di significato nella frase originale, quindi la categoria di errore non è applicabile.
1	Correct	Che cosa ha comprato Riccardo? La frase è già corretta.
0	Syntax	Leonardo ha incontrato Andrea.
0	Syntax	Riccardo ha domandato da chi non era stato visto da Leonardo.
1	Correct	Leonardo, mi hanno detto che parlerà domani.
1	Correct	Gabriele, quando l'hai visto? La frase è già corretta.
1	Correct	In quale cassetto Leonardo ha messo i fogli? La frase è già corretta.
