label	explanation
0	Syntax La frase presenta un errore di sintassi. La corretta espressione sarebbe "Voglio salutare Giulia". "Di" non è necessario in questo contesto.
1	Correct
0	Syntax La frase presenta un errore di sintassi. Dovrebbe essere "Il mio preferito è la Divina Commedia" o "Il mio libro preferito è la Divina Commedia" a seconda del contesto. L'aggiunta del pronome possessivo "lo" rende la frase sintatticamente scorretta.
0	Semantics
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
0	Syntax
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
0	Syntax
1	Correct
0	Syntax
0	Syntax La frase presenta un errore di sintassi. Una correzione potrebbe essere: "Riccardo ha domandato a chi non era stato visto Leonardo." In questo modo, viene chiarito il complemento oggetto della frase.
1	Correct
1	Correct
1	Correct
0	Syntax La frase contiene un errore di sintassi. Il verbo "parlato" concorda con il soggetto "Quale politico" in numero (singolare), quindi la forma corretta del verbo sarebbe "ha parlato". La frase corretta sarebbe: "Quale politico ha parlato?".
0	Syntax La frase presenta una struttura sintattica confusa e difficile da comprendere. Potrebbe essere corretta in questo modo: "Quale politico ha detto la radio che il giudice ha dichiarato che aveva parlato?" O ancora meglio: "Quale politico è stato citato alla radio, secondo il giudice, per aver parlato?"
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
0	Syntax La frase presenta un errore sintattico. "Il fatto di essere stato scoperto" è un participio passato che richiede il verbo "essere" per concordare correttamente al passato. Inoltre, "un delitto" è un oggetto diretto, ma in questa frase è preceduto da un complemento di specificazione ("di essere stato scoperto"), il che non è grammaticalmente corretto. Correzione: Il fatto che sia stato scoperto un delitto ci ha sconvolti.
1	Correct
1	Correct
0	Syntax La frase presenta un'inversione sintattica. Una correzione sarebbe: "Questa è la persona con cui Edoardo ha parlato, di cui Tommaso ha fatto l'affermazione." In questo modo, la frase è grammaticalmente corretta e mantiene il significato originale.
0	Syntax La frase presenta un errore di costruzione sintattica. La corretta forma sarebbe: "Edoardo crede che Sofia abbia baciato." La clausola relativa "che Sofia abbia baciato" richiede la congiunzione "che" per introdurla.
0	Syntax L'errore di sintassi nella frase è l'ordine delle parole. Una versione corretta della frase potrebbe essere: "Che problema non sai come potremo risolvere?". In questo caso, l'ordine delle parole è stato modificato per migliorare la fluidità e la coerenza della frase.
0	Syntax La frase presenta un errore di sintassi. Dovrebbe essere "L'ho visto" o "Ho visto lui". Il verbo "avere" nel passato prossimo coniugato al primo o al secondo gruppo richiede l'ausiliare "avere" e non "essere". Inoltre, "lui" dovrebbe essere anteposto al verbo.
0	Syntax La frase "Abbiamo visto lo" è grammaticalmente incompleta e inaccettabile. La parola "lo" richiede un complemento, ad esempio "Abbiamo visto lo spettacolo" o "Abbiamo visto lo scorso fine settimana". In questo caso, l'errore è di tipo sintattico.
1	Correct
0	Syntax
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
0	Syntax Correzione: Che libro ha detto il professore di raccomandare di leggere?
0	Syntax
1	Correct
1	Correct
0	Morphology La parola "detti" dovrebbe essere "detto" perché è il participio passato del verbo "dire" e concorda con il soggetto "Andrea" al maschile singolare. La frase corretta sarebbe: "Andrea ha detto che Tommaso lo guarda."
1	Correct
1	Correct
0	Syntax La frase presenta un'inversione sintattica non corretta. Il soggetto "Tommaso" dovrebbe precedere il verbo "è stato interrogato". La frase corretta sarebbe: "Tommaso non è stato ancora interrogato da quel professore?". La frase iniziale può essere comprensibile, ma non segue le regole della grammatica italiana.
1	Correct
0	Syntax La frase contiene un errore di sintassi. La domanda dovrebbe essere strutturata in modo diverso per essere grammaticalmente corretta. Una versione corretta potrebbe essere: "A proposito di questi paesi, quali, secondo Andrea, invaderanno?"
1	Correct
1	Correct
0	Semantics
1	Correct
1	Correct
0	Semantics La frase contiene un'affermazione contraddittoria, poiché afferma che se anche uno studente non ha superato l'esame, allora tutti gli studenti non l'hanno superato. Questo implica che se anche un solo studente fallisce, tutti gli altri falliscono automaticamente, il che è illogico.
1	Correct
1	Correct
1	Correct
1	Correct
0	Syntax L'errore di sintassi è dovuto al fatto che manca una virgola dopo "trasmettendoci le commissioni della marchesa" e dopo "Ha detto". Inoltre, "Darete loro il buongiorno" dovrebbe essere tra virgolette o apostrofo per indicare che è una citazione diretta. La frase corretta sarebbe: "Andrea, trasmettendoci le commissioni della marchesa, ci ha detto: 'Darete loro il buongiorno'."
1	Correct
1	Correct
1	Correct
1	Correct
0	Morphology La frase non è completa e mancano parole per renderla grammaticalmente corretta. Potrebbe essere necessario un verbo o altre parole per completare il significato della frase.
1	Correct
1	Correct
0	Syntax
1	Correct
0	Syntax
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
0	Syntax
1	Correct
1	Correct
1	Correct
0	Syntax
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
0	Syntax La frase dovrebbe essere "Scrive una lettera a sua zia" per essere corretta grammaticalmente. "Sua" è un aggettivo possessivo e di solito si utilizza per riferirsi a persone di sesso femminile. Tuttavia, in questo contesto, sembra che l'autore abbia confuso "sua" con "sue", che è l'aggettivo possessivo corretto per il plurale femminile. La frase dovrebbe essere "Scrive una lettera a sue zie" se si riferisce a più zie.
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
0	Syntax
1	Correct
1	Correct
0	Syntax
1	Correct
0	Syntax La frase contiene un errore di costruzione sintattica. "Venire fino a Napoli" è un verbo intransitivo e non può essere seguito da un oggetto diretto come "che non voglio". È più corretto dire "Non voglio venire fino a Napoli".
1	Correct
1	Correct
1	Correct
1	Correct
0	Syntax La frase non è corretta a causa di un errore di sintassi. "Mi lasciò" è un reflexive verb and should be followed by a reflexive pronoun, but "che piangevo" is an accusative pronoun and doesn't fit the context. A more appropriate phrase would be "Mi lasciò, mentre piangevo e volevo dire molte cose."
1	Correct
1	Correct
0	Syntax
1	Correct
1	Correct
1	Correct
1	Correct
0	Morphology La frase presenta un errore morfologico, poiché "mettere" è un verbo all'infinito e non può essere usato come sostantivo. Potrebbe essere corretto come "mettere fretta (alla/ai)" o "avere fretta".
1	Correct
1	Correct
0	Syntax La frase presenta un errore di sintassi, poiché manca un verbo principale per formare una frase completa. La forma corretta potrebbe essere: "Mettitelo bene in capo" (comando) o "Devi metterlo bene in capo" (con un verbo ausiliare).
0	Semantics
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
1	Correct
0	Syntax La frase "Emanare profumo" non è grammaticalmente corretta, poiché manca un verbo o un pronome come soggetto. La forma corretta sarebbe "Emanare un profumo" o "Il profumo emana".
1	Correct
0	Syntax
1	Correct
1	Correct
