label	explanation
0	Voglio salutare Giulia.
1	Ho voglia di salutare Sofia.
0	La mia preferita è la Divina Commedia.
0	Il mio treno preferito è il Frecciarossa. La Divina Commedia è un'opera letteraria.
1	Lorenzo ha detto che Andrea ha parlato con Riccardo. La frase è già corretta.
1	La frase è già corretta.
1	Alessandro ha incontrato Giulia. La frase è già corretta.
1	È ricomparso il padre del ragazzo.
1	I prezzi sono aumentati. La frase è già corretta.
1	Salvato Andrea, ci siamo dati alla pazza gioia. La frase è già corretta.
1	Il palazzo delle assicurazioni è crollato.
1	Quella costruzione offende il buon gusto. La frase è già corretta.
1	Newton ha spiegato la forza di gravità.
1	Mi hanno dato il premio.
1	Tommaso si è danneggiato. La frase è già corretta.
1	Quegli uomini hanno denunciato se stessi.
1	Compro e leggo quel libro. La frase è già corretta.
1	Ho incontrato Lorenzo, non Emma.
1	Non guardarlo. La frase è già corretta.
1	Ho incontrato molti amici di Riccardo.
1	Non ho trovato il tuo libro in quella biblioteca.
1	La frase è già corretta.
1	Riccardo ha promesso a Maria che metterà in vendita la propria casa.
1	Maria ha salutato i suoi genitori.
1	Riccardo non è molto intelligente.
1	Riccardo non è molto, credo, intelligente.
1	Hanno chiamato molte persone quel numero.
1	Che cosa ha comprato Riccardo?
1	Andrea è stato incontrato da Leonardo. La frase è già corretta.
0	Riccardo ha chiesto da chi non era stato visto Leonardo.
1	Leonardo, mi hanno detto che parlerà domani.
1	Gabriele, quando l'hai visto? La frase è già corretta.
1	In quale cassetto Leonardo ha messo i fogli? La frase è già corretta.
0	Quale politico hanno parlato? La frase originale presenta un errore grammaticale. La parola "Quale" richiede il verbo al singolare, quindi la forma corretta è "ha parlato" anziché "hanno parlato". La frase corretta è "Quale politico ha parlato?".
0	Quale politico ha detto che il giudice ha dichiarato che ha parlato alla radio?
1	Lorenzo ha detto che partirà domani.
1	Quando è arrivato Francesco, abbiamo potuto cenare. La frase è già corretta.
1	La tempesta ha abbattuto la quercia sotto cui il figliol prodigo pascolava i porci. La frase è già corretta.
1	Chi tocca i fili muore.
1	Alessandro, che è venuto a trovarmi ieri, mi ha detto di salutarti. La frase è già corretta.
1	La commissione ritiene dunque il candidato aver fornito sufficienti prove della sua maturità scientifica. La frase è già corretta.
1	Il timore della guerra è ingiustificato.
1	Riccardo ha perso le chiavi.
1	Alessandro è bramoso di potere.
1	Penso che Francesco domandi l'ora a Lorenzo. La frase è già corretta.
1	Tommaso ha affermato che Edoardo parla. La frase è già corretta.
1	Avendo io sempre sostenuto una posizione diversa, dovrò votare contro questa proposta. La frase è già corretta.
1	Tommaso ha ordinato ad Andrea di difenderlo. La frase è già corretta.
0	Il fatto di aver scoperto un delitto ci ha sconvolti.
1	Chi pensi che Alessandro incontrerà? La frase è già corretta.
1	La sedia su cui ti sei seduto è rotta.
1	Questa è la persona con cui Edoardo ha fatto l'affermazione che Tommaso ha parlato. La frase è già corretta.
0	Edoardo crede che Sofia abbia baciato.
0	Quale problema non sai come potremo risolvere?
0	Lui ha visto.
0	Abbiamo visto lo spettacolo.
1	Sofia dice che Alessandro parlerà domani. La frase è già corretta.
0	Beatrice ha dichiarato che non ha avuto niente a che fare con Gabriele.
1	Riccardo ha detto che Andrea si è guardato.
1	Il padre di Andrea mi è sembrato molto contento quando gli ho parlato. La frase è già corretta.
1	Penso che Edoardo creda che Maria voglia che Gabriele veda Riccardo. La frase è già corretta.
1	Edoardo crede che Emma voglia che Tommaso veda Gabriele. La frase è già corretta.
1	Il coniglio mangia. La frase è già corretta.
1	La frase è già corretta.
1	Per primo sono arrivato io, non tu.
1	Arriva un uomo.
1	Leonardo uccise Andrea.
0	Andrea ha detto che Tommaso lo guarda.
1	Gabriele ha voglia di andare al mare.
1	È questo libro che non avevo mai letto.
1	Da quel professore, Tommaso non è stato ancora interrogato? La frase è già corretta.
1	Alessandro crede che invaderemo quel paese. La frase è già corretta.
1	A proposito di questi paesi, quale crede Andrea che invaderanno? La frase è già corretta.
1	L'anno scorso Alessandro scriveva un libro, ma tutt'oggi non l'ha ancora finito. La frase è già corretta.
1	L'anno scorso, Edoardo scrisse un libro, ma a tutt'oggi non l'ha ancora finito. La frase è già corretta.
0	Gabriele è scapolo o è sposato.
1	L'attuale re di Francia è calvo. La frase è già corretta.
1	Qualche studente ha superato l'esame. La frase è già corretta.
0	Se qualche studente non ha superato l'esame, allora non tutti gli studenti hanno superato l'esame.
0	Ieri ho promesso a Lorenzo di partire. La frase è già corretta.
1	Nel processo di primo grado, la corte dichiarò l'imputato innocente. La frase è già corretta.
1	Continua così e combinerai guai. La frase è già corretta.
1	Ho preso le chiavi. La frase è già corretta.
0	Andrea, trasmettendoci le commissioni della marchesa, disse: "Darete loro il buongiorno".
1	Una bella casa fa comodo.
0	Prendiamo questa.
1	Uso il gladio. La frase è già corretta.
1	Il calcolatore funziona bene.
1	Scusa! La frase è già corretta.
1	Le ragazze sono arrivate. La frase è già corretta.
1	Il libro che mi ha prestato Lorenzo non mi piace. La frase è già corretta.
1	La frase è già corretta.
1	La frase è già corretta.
1	Andando a casa, ho incontrato tuo fratello. La frase è già corretta.
1	Sto andando a prendere la macchina.
1	Non è vero che l'aspetto dei luoghi cambia come il volto degli uomini.
1	Va' a casa! La frase è già corretta.
1	Io sono affamato.
1	Bravo, questo ragazzo. La frase è già corretta.
1	Paola è una donna che apprezziamo molto.
1	Cosa fai domani? La frase è già corretta.
1	Ho visto il libro che mi hai regalato. La frase è già corretta.
0	Gli amici del maestro Andrea.
1	Credo che tu abbia ragione.
1	Siccome è caduto, si è fatto male.
1	Volevano distruggerla e l'hanno distrutta. La frase è già corretta.
1	Ognuno prenda il suo cappotto.
1	Prendimi quell'aggeggio. La frase è già corretta.
1	Ho dato al bambino il latte, ma lui non l'ha bevuto. La frase è già corretta.
1	Maria usa il computer, io non lo so fare.
1	Ho visto una casa. La frase è già corretta.
1	Ho visto tua madre. La frase è già corretta.
1	La persona che mi ha parlato. La frase è già corretta.
1	Se uno va in treno, vuole stare comodo.
1	Fa male la mia testa. La frase è già corretta.
1	Ho due case. La frase è già corretta.
1	Ho delle case.
1	Il cavallo è arrivato primo. La frase è già corretta.
1	I cavalli sono animali resistenti.
1	È venuto qualcuno.
1	È arrivato. La frase è già corretta.
1	Posso venire.
1	Magari domani piove. La frase è già corretta.
1	Lui è stato colto dalla pioggia. La frase è già corretta.
0	Scrive una lettera alla sua zia.
1	Egli lo vide. La frase è già corretta.
1	Alessandro promette ad Edoardo di restare a casa. La frase è già corretta.
1	Riccardo non ha tempo.
1	Ho riparato il tavolo.
1	Hanno aperto il libro. La frase è già corretta.
0	Mi è stato dato il cappello.
1	Quel ragazzo apre la porta.
1	Ho sentito cantare i ragazzi.
0	La macchina vuole lavarla. Nota: ho rimosso "lui" dalla frase perché non era grammaticalmente corretto nel contesto fornito. Se si riferisce a una persona specifica, la frase dovrebbe essere "La macchina vuole lavarlo (lui)" o "La macchina vuole lavarla (la macchina)".
1	È il meccanico che è venuto. La frase è già corretta.
0	Non voglio venire fino a Napoli.
1	Quanto al bagno, mi fa piacere. La frase è già corretta.
1	Hai presente Lorenzo? La frase è già corretta.
1	E da quando vive in America? La frase è già corretta.
1	Credi che sia possibile una cosa del genere? La frase è già corretta.
0	Appena detto ciò, mi lasciò piangere e volevo dire molte cose.
1	Sei sempre lo stesso: un amico fidato, paziente e onesto. La frase è già corretta.
1	Il vento forte sul mare può provocare mareggiate. La frase è già corretta.
0	Piangere a voce alta.
