label	explanation
1	La frase è grammaticalmente corretta. Si tratta di una frase di salutazione corretta con la forma singolare del verbo "voglio".
1	La frase è grammaticalmente corretta. La forma singolare della frase è "Ho voglia di salutare Sofia".
1	La frase è grammaticalmente corretta. Si tratta di una frase semplice che inizia con un pronome personale singolare ("il mio") e segue con un nome composto ("lo preferito").
1	La frase è grammaticalmente corretta. La frase usa la forma singolare del verbo 'preferire' e il singulario del soggetto 'il mio treno'.
1	La frase è grammaticalmente corretta. La struttura della frase è corretta e i tempi verbali sono compatibili tra loro.
1	La frase è grammaticalmente corretta. La forma del verbo "stare" è corretta e la frase è sintatticamente corretta.
1	La frase è grammaticalmente corretta. La struttura della frase è corretta e i casi grammaticali sono usati correttamente.
1	La frase è grammaticalmente corretta. La forma plurale del verbo "essere" è corretta in questo caso, perché si riferisce al soggetto "i ragazzi".
1	La frase è grammaticalmente corretta. Si tratta della forma plurale dei prezzi, che è "sono".
1	La frase è grammaticalmente corretta. La forma plurale del verbo "essere" è "siamo", ma in questo caso si tratta di un solo soggetto (Andrea), quindi si deve utilizzare la forma singolare "è".
0	La frase non è corretta perché il soggetto "il palazzo" è singolare e la forma verbale deve essere "è" invece di "sono".
0	La frase contiene un uso errato del verbo. "Quella costruzione" è plurale, quindi il verbo dovrebbe essere "offendono" invece di "offende".
1	La frase è grammaticalmente corretta. Newton ha usato la forma singolare del verbo 'ha spiegato' perché si riferisce a un singolo evento (la forza di gravità).
1	La frase è grammaticalmente corretta. La forma del verbo "essere" è corretta in base al numero del soggetto "Mi".
1	La frase è grammaticalmente corretta. Si usa la forma singolare del verbo "si è danneggiato" perché Tommaso è un nome singolare.
0	La frase non è corretta. Si usa la forma singolare del verbo 'ha' quando si parla di un solo individuo, mentre la forma plurale 'hanno' viene utilizzata quando si parla di più di un uomo.
1	La frase è grammaticalmente corretta. La forma plurale "comprano e leggono" non è corretta in questa frase.
1	La frase è grammaticalmente corretta. Si utilizza la forma singolare del verbo 'ho' perché il soggetto è 'io', che è singolare.
1	La frase è grammaticalmente corretta. La struttura della frase è corretta e i suoi componenti grammaticali sono utilizzati correttamente.
1	La frase è grammaticalmente corretta. Si tratta della forma plurale di "amico" e si adatta al plurale di "amici".
1	La frase è grammaticalmente corretta. La forma del verbo "trovare" è corretta in base al numero (plurale) del soggetto "libro".
1	La frase è grammaticalmente corretta. La forma singolare della verbale "essere" è "è", quindi è corretta nel contesto della frase.
1	La frase è grammaticalmente corretta. Si tratta di una frase passiva con verbo ausiliario 'ha' e participio passato 'metto'.
1	La frase è grammaticalmente corretta. Si usa la forma plurale 'ha salutato' perché "Maria" è singolare.
0	La frase contiene un errore di numero. Si dovrebbe dire "Riccardo non è molto intelligente" con la forma singolare del verbo "essere".
0	La frase contiene un uso errato della forma del verbo. Si dovrebbe utilizzare la forma singolare "è" invece della forma plurale "sono" in quanto Riccardo è un nome singolare.
1	La frase è corretta. Si usa la forma plurale "hanno" perché "persone" è un plurale.
1	La frase è grammaticalmente corretta. La frase è composta da un nome soggetto (Riccardo) e un verbo (ha comprato).
1	La frase è grammaticalmente corretta. Si usa la forma singolare del verbo 'essere' (è stato) perché Andrea è un nome singolare.
1	La frase è grammaticalmente corretta. La forma del verbo "ha domandato" è corretta in quanto si accorda con il soggetto "Riccardo".
1	La frase è grammaticalmente corretta. La forma del verbo 'parla' è corretta in quanto si accordsa con il soggetto 'Leonardo'.
1	La frase è grammaticalmente corretta. Si tratta di una domanda formulara con un verbo al passato più recente e un complemento oggetto singolare.
1	La frase è grammaticalmente corretta. Si usa la forma singolare "ha" del verbo "ha messo" perché "Leonardo" è un nome singolare.
0	La frase non è corretta perché usa la forma plurale 'hanno' al posto della forma singolare corretta 'ha'.
1	La frase è grammaticalmente corretta. La struttura della frase è corretta e i tempi verbali sono compatibili.
1	La frase è grammaticalmente corretta. La forma del verbo 'partire' è corretta in base al numero del soggetto 'Lorenzo'.
1	La frase è grammaticalmente corretta. Si tratta di una frase composta da due frasi subordinate: "Quando è arrivato Francesco" e "abbiamo potuto cenare". La prima frase contiene un evento passato (è arrivato), mentre la seconda frase descrive un evento che è potuto svolgersi come risultato di quell'evento.
0	La frase contiene errori gramaticali. Si dovrebbe dire "il figlio prodigo pascolava i porci sotto la quercia" oppure "la tempesta ha abbattuto la quercia su cui pascolava il figlio prodigo".
0	La frase contiene un errore di numero. Si dovrebbe dire "Chi tocca i fili muore" o "Chi tocca un filo muore".
1	La frase è grammaticalmente corretta. La forma singolare 'è' è corretta per il genere singolare del soggetto 'Alessandro'.
1	La frase è grammaticalmente corretta. La forma plurale "sono" è corretta in questo contesto, poiché si riferisce alla commissione che ha fornito le prove.
1	La frase è grammaticalmente corretta. La struttura della frase è corretta e il verbo "è" è usato correttamente nel singolare, in accordo con il soggetto "il timore".
1	La frase è grammaticalmente corretta. Il plurale di "chiavi" è corretto in questo caso.
1	La frase è grammaticalmente corretta. Il soggetto è singolare (Alessandro) e il verbo concorda con il soggetto (è).
0	La frase contiene un errore di numero, perché usa la forma plurale 'sano' invece della forma singolare 'è'.
1	La frase è grammaticalmente corretta. Il soggetto della frase è Tommaso, singolare, e il verbo è parla, che è nella forma singolare.
1	La frase è grammaticalmente corretta. La forma del verbo 'sostenere' è corretta in base al numero (singolare) della frase.
1	La frase è grammaticalmente corretta. La forma plurale "ha ordinato" è corretta in questo caso, perché il soggetto "Tommaso" è singolare.
0	La frase contiene un uso errato del tempo verbale. Si dovrebbe dire "Il fatto di essere stato scoperto un delitto ci ha sconvolti" o "Il fatto di essere stato scoperto un delitto ha sconvolto".
1	La frase è grammaticalmente corretta. La forma singolare del verbo "pensare" è corretta in questo contesto.
1	La frase è grammaticalmente corretta. La forma plurale del verbo "essere" (sono) è corretta per la sujetto "la sedia".
1	La frase è grammaticalmente corretta. Si tratta di una frase completa e grammaticale, con un soggetto (la persona) e un complemento (l'affermazione).
0	La frase contiene un errore grammatical. Si dovrebbe dire "Edoardo crede che Sofia abbia baciato" o "Edoardo crede che Sofia ha baciato". La forma corretta è la seconda.
1	La frase è grammaticalmente corretta. La forma plurale 'sono' è corretta in questo caso perché si riferisce a 'problemi'.
1	La frase è grammaticalmente corretta. Si usa la forma singolare del verbo "abbiare" con il soggetto "lui".
0	La frase contiene un verbo al plurale (" abbiamo visto") mentre il soggetto è al singolare ("lo"). In questo caso, deve essere usato la forma singolare del verbo "vedere", "ha visto".
1	La frase è grammaticalmente corretta. La frase utilizza la forma singolare del verbo parlare, che è corretta in questo caso.
0	La frase contiene errori grammaticali. Si dovrebbe dire "Beatrice ha dichiarato che se stessa non ha avuto niente a che fare con Gabriele".
